insert carpricemenu(kname, kprice) values('아반떼 2022', 3000);
insert carpricemenu(kname, kprice) values('아반떼 2021', 2000);
insert carpricemenu(kname, kprice) values('카니발 2022', 5000);
insert carpricemenu(kname, kprice) values('카니발 2021', 4500);
insert carpricemenu(kname, kprice) values('k3 2022', 3000);
insert carpricemenu(kname, kprice) values('k3 2021', 2000);
insert carpricemenu(kname, kprice) values('k5 2022', 5000);
insert carpricemenu(kname, kprice) values('k5 2021', 4000);
insert carpricemenu(kname, kprice) values('모닝 2022', 2000);
insert carpricemenu(kname, kprice) values('k7 2022', 6000);
insert carpricemenu(kname, kprice) values('k7 2021', 5500);
insert carpricemenu(kname, kprice) values('그랜저 2022', 6000);
insert carpricemenu(kname, kprice) values('그랜저 2021', 5500);
insert carpricemenu(kname, kprice) values('소나타 2022', 5000);
insert carpricemenu(kname, kprice) values('소나타 2021', 4000);
insert carpricemenu(kname, kprice) values('팰리세이드 2022', 6000);
insert carpricemenu(kname, kprice) values('펠리세이드 2021', 5000);
insert carpricemenu(kname, kprice) values('코나 2022', 4000);
insert carpricemenu(kname, kprice) values('코나 2021', 3000);
insert carpricemenu(kname, kprice) values('캐스퍼 2022', 3500);
insert carpricemenu(kname, kprice) values('투싼 2022', 4000);
insert carpricemenu(kname, kprice) values('투싼 2021', 3500);
insert carpricemenu(kname, kprice) values('GV80 2022', 7500);
insert carpricemenu(kname, kprice) values('GV80 2021', 6500);
insert carpricemenu(kname, kprice) values('G90 2022', 8500);
insert carpricemenu(kname, kprice) values('G90 2021', 7500);
insert carpricemenu(kname, kprice) values('GV70 2022', 6500);
insert carpricemenu(kname, kprice) values('GV70 2021', 6000);
insert carpricemenu(kname, kprice) values('G80 2022', 7500);
insert carpricemenu(kname, kprice) values('G80 2021', 6500);
insert carpricemenu(kname, kprice) values('K8 2022', 7000);
insert carpricemenu(kname, kprice) values('K8 2021', 6500);
insert carpricemenu(kname, kprice) values('레이 2022', 4000);
insert carpricemenu(kname, kprice) values('레이 2021', 3000);
insert carpricemenu(kname, kprice) values('셀토스 2022', 5000);
insert carpricemenu(kname, kprice) values('셀토스 2021', 4000);
insert carpricemenu(kname, kprice) values('스포티지 2022', 5000);
insert carpricemenu(kname, kprice) values('스포티지 2021', 4500);
insert carpricemenu(kname, kprice) values('쏘렌토 2022', 7500);
insert carpricemenu(kname, kprice) values('쏘렌토 2021', 7000);
insert carpricemenu(kname, kprice) values('아반떼 2022', 3000);
insert carpricemenu(kname, kprice) values('아반떼 2021', 2000);
insert carpricemenu(kname, kprice) values('카니발 2022', 5000);
insert carpricemenu(kname, kprice) values('카니발 2021', 4500);
insert carpricemenu(kname, kprice) values('k3 2022', 3000);
insert carpricemenu(kname, kprice) values('k3 2021', 2000);
insert carpricemenu(kname, kprice) values('k5 2022', 5000);
insert carpricemenu(kname, kprice) values('k5 2021', 4000);
insert carpricemenu(kname, kprice) values('모닝 2022', 2000);
insert carpricemenu(kname, kprice) values('k7 2022', 6000);
insert carpricemenu(kname, kprice) values('k7 2021', 5500);
insert carpricemenu(kname, kprice) values('그랜저 2022', 6000);
insert carpricemenu(kname, kprice) values('그랜저 2021', 5500);
insert carpricemenu(kname, kprice) values('소나타 2022', 5000);
insert carpricemenu(kname, kprice) values('소나타 2021', 4000);
insert carpricemenu(kname, kprice) values('팰리세이드 2022', 6000);
insert carpricemenu(kname, kprice) values('펠리세이드 2021', 5000);
insert carpricemenu(kname, kprice) values('코나 2022', 4000);
insert carpricemenu(kname, kprice) values('코나 2021', 3000);
insert carpricemenu(kname, kprice) values('캐스퍼 2022', 3500);
insert carpricemenu(kname, kprice) values('투싼 2022', 4000);
insert carpricemenu(kname, kprice) values('투싼 2021', 3500);
insert carpricemenu(kname, kprice) values('GV80 2022', 7500);
insert carpricemenu(kname, kprice) values('GV80 2021', 6500);
insert carpricemenu(kname, kprice) values('G90 2022', 8500);
insert carpricemenu(kname, kprice) values('G90 2021', 7500);
insert carpricemenu(kname, kprice) values('GV70 2022', 6500);
insert carpricemenu(kname, kprice) values('GV70 2021', 6000);
insert carpricemenu(kname, kprice) values('G80 2022', 7500);
insert carpricemenu(kname, kprice) values('G80 2021', 6500);
insert carpricemenu(kname, kprice) values('K8 2022', 7000);
insert carpricemenu(kname, kprice) values('K8 2021', 6500);
insert carpricemenu(kname, kprice) values('레이 2022', 4000);
insert carpricemenu(kname, kprice) values('레이 2021', 3000);
insert carpricemenu(kname, kprice) values('셀토스 2022', 5000);
insert carpricemenu(kname, kprice) values('셀토스 2021', 4000);
insert carpricemenu(kname, kprice) values('스포티지 2022', 5000);
insert carpricemenu(kname, kprice) values('스포티지 2021', 4500);
insert carpricemenu(kname, kprice) values('쏘렌토 2022', 7500);
insert carpricemenu(kname, kprice) values('쏘렌토 2021', 7000);
<<<<<<< HEAD
insert carpricemenu(kname, kprice) values('아반떼 2022', 3000);
insert carpricemenu(kname, kprice) values('아반떼 2021', 2000);
insert carpricemenu(kname, kprice) values('카니발 2022', 5000);
insert carpricemenu(kname, kprice) values('카니발 2021', 4500);
insert carpricemenu(kname, kprice) values('k3 2022', 3000);
insert carpricemenu(kname, kprice) values('k3 2021', 2000);
insert carpricemenu(kname, kprice) values('k5 2022', 5000);
insert carpricemenu(kname, kprice) values('k5 2021', 4000);
insert carpricemenu(kname, kprice) values('모닝 2022', 2000);
insert carpricemenu(kname, kprice) values('k7 2022', 6000);
insert carpricemenu(kname, kprice) values('k7 2021', 5500);
insert carpricemenu(kname, kprice) values('그랜저 2022', 6000);
insert carpricemenu(kname, kprice) values('그랜저 2021', 5500);
insert carpricemenu(kname, kprice) values('소나타 2022', 5000);
insert carpricemenu(kname, kprice) values('소나타 2021', 4000);
insert carpricemenu(kname, kprice) values('팰리세이드 2022', 6000);
insert carpricemenu(kname, kprice) values('펠리세이드 2021', 5000);
insert carpricemenu(kname, kprice) values('코나 2022', 4000);
insert carpricemenu(kname, kprice) values('코나 2021', 3000);
insert carpricemenu(kname, kprice) values('캐스퍼 2022', 3500);
insert carpricemenu(kname, kprice) values('투싼 2022', 4000);
insert carpricemenu(kname, kprice) values('투싼 2021', 3500);
insert carpricemenu(kname, kprice) values('GV80 2022', 7500);
insert carpricemenu(kname, kprice) values('GV80 2021', 6500);
insert carpricemenu(kname, kprice) values('G90 2022', 8500);
insert carpricemenu(kname, kprice) values('G90 2021', 7500);
insert carpricemenu(kname, kprice) values('GV70 2022', 6500);
insert carpricemenu(kname, kprice) values('GV70 2021', 6000);
insert carpricemenu(kname, kprice) values('G80 2022', 7500);
insert carpricemenu(kname, kprice) values('G80 2021', 6500);
insert carpricemenu(kname, kprice) values('K8 2022', 7000);
insert carpricemenu(kname, kprice) values('K8 2021', 6500);
insert carpricemenu(kname, kprice) values('레이 2022', 4000);
insert carpricemenu(kname, kprice) values('레이 2021', 3000);
insert carpricemenu(kname, kprice) values('셀토스 2022', 5000);
insert carpricemenu(kname, kprice) values('셀토스 2021', 4000);
insert carpricemenu(kname, kprice) values('스포티지 2022', 5000);
insert carpricemenu(kname, kprice) values('스포티지 2021', 4500);
insert carpricemenu(kname, kprice) values('쏘렌토 2022', 7500);
